Planned,,,,,,,
,,,,,,,
Fiscal Year,Fiscal Year Type,Account Name,Agency Name,Operating Unit,Category,Sector, Amount 
2006,FY 2006 Actual Base,N/A,MCC,N/A,,," $1,752,000,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Economic Development,Agriculture," $1,900,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Civil Society," $2,952,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Health,Family Planning and Reproductive Health," $350,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Economic Development,Financial Sector," $1,371,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Good Governance," $1,400,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Health,HIV/AIDS," $100,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Economic Development,Infrastructure," $800,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Health,Maternal and Child Health," $1,050,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Health,Other Public Health Threats," $900,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $900,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Economic Development,Private Sector Competitiveness," $4,539,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $3,243,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Peace and Security,Stabilization Operations and Security Sector Reform," $3,515,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Peace and Security,Transnational Crime," $1,630,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Health,Tuberculosis," $100,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Economic Development,Agriculture," $6,346,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Education and Social Services,Basic Education," $200,000.00 "
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,"Democracy, Human Rights, and Governance",Civil Society," $8,343,000.00 "
