FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2009,1,Disbursements,Development Assistance, USAID,Egypt,Egypt,"Democracy, Human Rights, and Governance",Good Governance," $84,157.68 ",84157.67999999999,84157.67999999999
2011,2,Obligations,Development Assistance,usaid,Uganda,Uganda,Education and Social Services,Social Services, $(964.73),-964.73,-964.73
2012,,Disbursements,N/A,IAF,Costa Rica,Costa Rica,,Economic Opportunity," $102,500.00 ",102500,102500
2013,2,Disbursements,N/A,usaid,Bolivia,Bolivia,Peace and Security,Counter-Narcotics, $(156.11),-156.11,-156.11
2013,3,Disbursements,N/A,MCC,Benin,Benin,multi-sector,Multi-Sector - Unspecified," $78,673.52 ",78673.52,78673.52
2009,4,Disbursements,Development Assistance, USAID,Bolivia,Bolivia,Education and Social Services,Basic Education," $67,839.10 ",67839.10000000001,67839.10000000001
2013,2,Obligations,Special Assistance Initiatives,usaid,Lithuania,Lithuania,Program Management,Direct Administrative Costs," $(40,580.78)",-40580.78,-40580.78
2010,3,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Guatemala,Central American Region,Health,HIV/AIDS," $6,482.64 ",6482.64,6482.64
2010,3,Disbsmnt.,Development Assistance,usaid,Guyana,Guyana,Economic Development,Trade and Investment," $17,512.83 ",17512.83,17512.83
2011,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Georgia,Georgia,Economic Development,Infrastructure," $175,000.00 ",175000,175000
2009,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia", USAID,Kosovo,Kosovo,Program Management,Direct Administrative Costs," $127,776.58 ",127776.58,127776.58
2013,4,Disbursements,N/A,usaid,Guatemala,Guatemala,"Democracy, Human Rights, and Governance",Good Governance," $1,255,155.25 ",1255155.25,1255155.25
2009,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Uganda,Uganda,Health,Maternal and Child Health," $418,618.22 ",418618.22,418618.22
2014,2,Obligations,Economic Support Fund,usaid,Bosnia and Herzegovina,Bosnia and Herzegovina,Economic Development,Private Sector Competitiveness," $273,338.17 ",273338.17,273338.17
2011,4,Disbursements,Economic Support Fund,usaid,Vietnam,Vietnam,DRG,Rule of Law and Human Rights, $106.42 ,106.42,106.42
2013,3,Obligations,Economic Support Fund,usaid,Nepal,Nepal,Economic Development,Economic Opportunity, $604.12 ,604.12,604.12
2010,3,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Ghana,Ghana,Health,HIV/AIDS," $748,899.13 ",748899.13,748899.13
2013,1,Obligations,Millennium Challenge Corporation,usaid,Rwanda,Rwanda,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $(134,397.76)",-134397.76,-134397.76
