group,variable,percentLess-3SD_heightforage,percentLess-2SD_heightforage,meanZ_heightforage,percentLess-3SD_weightforheight,percentLess-2SD_weightforheight,percentMore2SD_weightforheight,meanZ_weightforheight,percentLess-3SD_weightforage,percentLess-2SD_weightforage,percentMore2SD_weightforage,meanZ_weightforage,Number of children
0-6,Age in months,3.7,10.5,-0.5,1.7,5.4,18.3,0.7,1.4,4.3,4.2,0.1,331
7-8,Age in months,8.8,18.2,-0.7,1.1,4.5,11,0.3,2.6,9,2.4,-0.3,214
9-11,Age in months,7.6,21.3,-1,1.5,3.8,10.6,0.4,1.6,9.1,0.9,-0.3,214
12-17,Age in months,16.1,41.6,-1.6,0.8,3.8,9.2,0.4,2.9,11.4,0.6,-0.5,402
18-23,Age in months,15.2,49.4,-1.8,0.4,2.6,7.2,0.3,2,9.2,1.1,-0.7,365
24-35,Age in months,18.5,47.1,-1.9,0.5,1.3,7.1,0.5,2.4,11.3,0.8,-0.7,797
36-47,Age in months,13.8,42.7,-1.8,0,0.7,5.7,0.5,1.2,7.9,0.5,-0.7,831
48-59,Age in months,12.7,37.4,-1.7,0.4,1.2,2.9,0.3,3.3,10.3,0.5,-0.8,657
Male,sex,15.6,42.7,-1.7,0.9,2.4,8.1,0.5,2.8,9.3,1.1,-0.6,1924
Female,sex,11.3,32.9,-1.4,0.3,2,7.3,0.4,1.6,9.3,1,-0.5,1889
Interviewed,Mother's interview status,13.1,37.8,-1.6,0.6,2.3,7.9,0.4,2.1,9.1,1.1,-0.6,3550
"Not interviewed, but in household",Mother's interview status,-10.7,29.3,-1.6,0,0,6.1,0.4,3.6,6.7,0,-0.6,30
"Not interviewed, not in household",Mother's interview status,20,40.5,-1.7,0,1.6,4,0.4,4.1,13,1,-0.7,232
Urban,Residence,7,23.7,-1,0.6,1.8,10.9,0.5,1.6,5.9,2.9,-0.2,612
Rural,Residence,14.7,40.6,-1.7,0.6,2.3,7.1,0.4,2.3,10,0.7,-0.7,3200
Kigali City,Residence,5.2,22.7,-0.9,0.7,2.3,9.9,0.5,1.9,5.3,2.8,-0.2,419
South,Residence,13.9,40.5,-1.6,0.3,2.4,6.8,0.4,2.3,10.5,0.9,-0.6,910
West,Residence,18.6,44.9,-1.8,0.7,2.3,7.6,0.4,2.7,10.1,0.9,-0.7,894
North,Residence,13.3,39.2,-1.6,0.1,1.8,9.7,0.6,1.7,9.3,0.7,-0.5,541
East,Residence,12.1,34.8,-1.5,0.9,2.2,6.7,0.4,2.1,9.2,0.8,-0.6,1049
No education,Mother's education,17.9,47,-1.9,0.9,3,7.3,0.5,3.4,11.7,0.8,-0.8,530
Primary,Mother's education,13.2,39.1,-1.6,0.5,2.1,7.7,0.4,2,9.2,0.7,-0.6,2589
Secondary +,Mother's education,6.4,19.3,-0.8,1,2.3,10.1,0.5,1.1,5.6,3.2,-0.1,462
Lowest,Wealth quintile,19.2,48.6,-1.9,0.5,2.3,6.9,0.4,3.1,13.2,0.7,-0.8,959
Second,Wealth quintile,16.3,44.7,-1.8,0.7,2.2,7.2,0.4,2.6,12.1,0.5,-0.8,829
Middle,Wealth quintile,13.6,37.5,-1.6,0.6,2.9,6.1,0.4,2.5,8.3,0.1,-0.6,740
Fourth,Wealth quintile,8.8,30.2,-1.4,0.3,1.8,8.7,0.5,1.6,6.8,1.3,-0.4,650
Highest,Wealth quintile,5.7,20.9,-0.9,0.7,1.8,10.3,0.5,0.8,3.4,3.2,-0.1,633
Total,Wealth quintile,13.5,37.9,-1.6,0.6,2.2,7.7,0.4,2.2,9.3,1.1,-0.6,3813
