FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2,notCountry
2009,2,Disbursements,Development Assistance,USAID,Egypt,Egypt,Health,Water Supply and Sanitation," $118,691.33 ",118691.33,118691.33,0
2011,1,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Economic Development,Financial Sector," $(3,690.26)",-3690.26,-3690.26,1
2012,,Disbursements,Unknown,IAF,Ecuador,Ecuador,Missing,Civil Society," $16,500.00 ",16500,16500,0
2013,3,Disbursements,Unknown,USAID,Bolivia,Bolivia,Program Management,Direct Administrative Costs," $309,532.19 ",309532.19,309532.19,0
2013,1,Disbursements,Unknown,MCC,Benin,Benin,Economic Development,Private Sector Competitiveness, $(0.01),-.01,-.01,0
2009,1,Disbursements,Development Assistance,USAID,Bolivia,Bolivia,Economic Development,Financial Sector," $340,568.16 ",340568.16,340568.16,0
2013,2,Obligations,Special Assistance Initiatives,USAID,Macedonia,Macedonia,Program Management,Direct Administrative Costs," $(36,427.94)",-36427.94,-36427.94,0
2010,4,Disbursements,Global Health & Child Survival,USAID,Guatemala,Guatemala,Health,Family Planning and Reproductive Health," $1,473,112.69 ",1473112.69,1473112.69,0
2010,4,Disbursements,Development Assistance,USAID,Haiti,Haiti,Education And Social Services,Basic Education," $1,645,853.76 ",1645853.76,1645853.76,0
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,Economic Development,Private Sector Competitiveness," $3,098,000.00 ",3098000,3098000,0
2009,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Uzbekistan,Uzbekistan,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $95,000.00 ",95000,95000,0
2013,1,Disbursements,Unknown,USAID,Guatemala,Guatemala,Program Management,Monitoring and Evaluation," $584,507.53 ",584507.53,584507.53,0
2009,2,Disbursements,Child Survival and Health Programs Fund,USAID,Ukraine,Ukraine,Health,HIV/AIDS," $705,120.43 ",705120.4300000001,705120.4300000001,0
2014,2,Obligations,Economic Support Fund,USAID,Burma,Burma,Program Management,Direct Administrative Costs," $549,540.03 ",549540.03,549540.03,0
2011,1,Disbursements,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,"Democracy, Human Rights, And Governance",Civil Society," $4,347,297.64 ",4347297.64,4347297.64,0
2013,3,Obligations,Economic Support Fund,USAID,Nepal,Nepal,Program Management,Monitoring and Evaluation," $141,974.55 ",141974.55,141974.55,0
2010,2,Disbursements,Global Health & Child Survival,USAID,Guatemala,Guatemala,Health,Family Planning and Reproductive Health," $926,438.93 ",926438.9300000001,926438.9300000001,0
2013,2,Obligations,Millennium Challenge Corporation,USAID,Worldwide,Worldwide,Program Management,Direct Administrative Costs," $(2,200.10)",-2200.1,-2200.1,0
2012,2,Disbursements,Development Assistance,USAID,Mexico,Mexico,Program Management,Direct Administrative Costs," $61,411.42 ",61411.42,61411.42,0
2011,1,Obligations,Unknown,USAID,Niger,Niger,Economic Development,Agriculture," $965,780.00 ",965780,965780,0
2013,3,Disbursements,Gifts and Donations,USAID,Turkmenistan,Turkmenistan,Health,HIV/AIDS," $18,175.05 ",18175.05,18175.05,0
2011,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",South Pacific Region,Humanitarian Assistance,Disaster Readiness," $14,648.00 ",14648,14648,1
2013,4,Obligations,Child Survival and Health Programs Fund,USAID,Malawi,Malawi,Program Management,Direct Administrative Costs," $478,480.00 ",478480,478480,0
2010,4,Obligations,Development Credit Authority,USAID,Nigeria,Nigeria,Health,Family Planning and Reproductive Health," $79,250.00 ",79250,79250,0
2013,3,Disbursements,Economic Support Fund,USAID,Pakistan,Pakistan,"Democracy, Human Rights, And Governance",Civil Society," $6,515,952.82 ",6515952.82,6515952.82,0
2011,4,Obligations,Global Health & Child Survival,USAID,USAID East Africa Regional,East Africa Region,Health,Tuberculosis," $1,214,000.00 ",1214000,1214000,1
2008,2,Obligations,Unknown,MCC,Lesotho,Lesotho,Multi-Sector,Multi-Sector - Unspecified," $1,707,987.45 ",1707987.45,1707987.45,0
2010,4,Disbursements,Economic Support Fund,USAID,Timor-Leste,Timor-Leste,Economic Development,Economic Opportunity," $38,474.40 ",38474.4,38474.4,0
2010,4,Obligations,Operating Expenses,USAID,"Sudan, Pre-2011 Election",Worldwide,Program Management,Direct Administrative Costs," $14,036,938.76 ",14036938.76,14036938.76,0
2011,3,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Environment,Clean Productive Environment," $930,146.00 ",930146,930146,1
2009,3,Disbursements,Development Assistance,USAID,South Africa,South Africa,Education And Social Services,Social Services," $4,967.93 ",4967.93,4967.93,0
2009,4,Disbursements,Special Assistance Initiatives,USAID,Albania,Albania,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $8,151.12 ",8151.12,8151.12,0
2009,3,Obligations,Operating Expenses,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs," $3,910,553.69 ",3910553.69,3910553.69,0
2012,4,Obligations,Global Health & Child Survival,USAID,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $95,904.77 ",95904.77,95904.77,0
2010,1,Disbursements,Operating Expenses,USAID,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs," $2,604,963.51 ",2604963.51,2604963.51,0
2011,2,Disbursements,Child Survival and Health Programs Fund,USAID,USAID Latin America and Caribbean Regional,Peru,Health,Malaria, $168.26 ,168.26,168.26,0
2012,2,Disbursements,Development Assistance,USAID,Ecuador,Ecuador,Environment,Natural Resources and Biodiversity," $1,133,084.64 ",1133084.64,1133084.64,0
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Serbia,Serbia,"Democracy, Human Rights, And Governance",Good Governance," $1,568,000.00 ",1568000,1568000,0
2011,1,Disbursements,Development Assistance,USAID,Uganda,Uganda,Program Management,Direct Administrative Costs," $92,548.72 ",92548.72,92548.72,0
2011,2,Disbursements,Unknown,MCC,Burkina Faso,Burkina Faso,Economic Development,Infrastructure," $707,293.00 ",707293,707293,0
2013,2,Obligations,International Disaster Assistance,USAID,South Sudan,South Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $17,088,405.00 ",17088405,17088405,0
