FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2009,2,Disbursements,Development Assistance,U.S.A.I.D,Egypt,Egypt,Health,Water Supply and Sanitation," $118,691.33 ",118691.33,118691.33
2011,1,Obligations,Development Assistance,usaid,USAID Africa Regional,Africa Region,Economic Development,Financial Sector," $(3,690.26)",-3690.26,-3690.26
2012,,Disbursements,N/A,IAF,Ecuador,Ecuador,,Civil Society," $16,500.00 ",16500,16500
2013,3,Disbursements,N/A,usaid,Bolivia,Bolivia,Program Management,Direct Administrative Costs," $309,532.19 ",309532.19,309532.19
2013,1,Disbursements,N/A, MCC ,Benin,Benin,Economic Development,Private Sector Competitiveness, $(0.01),-.01,-.01
2009,1,Disbursements,Development Assistance, USAID ,Bolivia,Bolivia,Economic Development,Financial Sector," $340,568.16 ",340568.16,340568.16
2013,2,Obligations,Special Assistance Initiatives,usaid,Macedonia,Macedonia,Program Management,Direct Administrative Costs," $(36,427.94)",-36427.94,-36427.94
2010,4,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Guatemala,Guatemala,Health,Family Planning and Reproductive Health," $1,473,112.69 ",1473112.69,1473112.69
2010,4,Disbsmnt.,Development Assistance,usaid,Haiti,Haiti,Education and Social Services,Basic Education," $1,645,853.76 ",1645853.76,1645853.76
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",usaid,Georgia,Georgia,Economic Development,Private Sector Competitiveness," $3,098,000.00 ",3098000,3098000
2009,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia", USAID ,Uzbekistan,Uzbekistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $95,000.00 ",95000,95000
2013,1,Disbursements,N/A,usaid,Guatemala,Guatemala,Program Management,Monitoring and Evaluation," $584,507.53 ",584507.53,584507.53
2009,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Ukraine,Ukraine,Health,HIV/AIDS," $705,120.43 ",705120.4300000001,705120.4300000001
2014,2,Obligations,Economic Support Fund,usaid,Burma,Burma,Program Management,Direct Administrative Costs," $549,540.03 ",549540.03,549540.03
2011,1,Disbursements,Economic Support Fund,usaid,West Bank and Gaza,West Bank and Gaza,DRG,Civil Society," $4,347,297.64 ",4347297.64,4347297.64
2013,3,Obligations,Economic Support Fund,usaid,Nepal,Nepal,Program Management,Monitoring and Evaluation," $141,974.55 ",141974.55,141974.55
